trial,struct,time,l,un,order,baserate,mag,session,subject,block
6,2,2,-100,84,2,1,40,S,1,1
7,2,1,10,12,2,1,20,S,1,1
7,2,2,-100,0,1,1,20,S,1,1
8,2,1,51,42,2,1,60,S,1,1
8,2,2,-100,69,2,1,60,S,1,1
9,1,1,55,63,1,1,60,S,1,1
9,1,2,79,-53,2,1,60,S,1,1
10,0,1,-100,-100,1,3,0,S,1,1
10,0,2,-100,-100,1,3,0,S,1,1
11,1,1,47,44,2,3,60,S,1,1
11,1,2,63,-60,2,3,60,S,1,1
12,1,1,62,64,2,3,100,S,1,1
12,1,2,50,-38,2,3,100,S,1,1
13,2,1,-83,-68,1,3,20,S,1,1
13,2,2,-100,-81,2,3,20,S,1,1
14,1,1,24,20,2,1,20,S,1,1
14,1,2,26,-72,1,1,20,S,1,1
15,1,1,41,56,1,1,80,S,1,1
15,1,2,68,-61,1,1,80,S,1,1
16,2,1,44,37,2,1,80,S,1,1
16,2,2,-100,53,1,1,80,S,1,1
17,1,1,46,45,1,3,40,S,1,1
17,1,2,60,-18,2,3,40,S,1,1
18,0,1,-100,-100,2,1,0,S,1,1
18,0,2,-100,-100,1,1,0,S,1,1
19,1,1,22,15,2,3,20,S,1,1
19,1,2,19,-59,2,3,20,S,1,1
20,2,1,43,46,1,3,60,S,1,1
20,2,2,-100,55,1,3,60,S,1,1
21,2,1,45,41,1,3,40,S,1,1
21,2,2,-100,50,1,3,40,S,1,1
22,1,1,53,43,2,1,100,S,1,1
22,1,2,78,-23,2,1,100,S,1,1
23,1,1,35,17,1,1,80,S,1,2
23,1,2,60,-11,1,1,80,S,1,2
24,2,1,59,39,2,3,80,S,1,2
24,2,2,-100,56,2,3,80,S,1,2
25,1,1,34,36,2,3,40,S,1,2
25,1,2,23,24,1,3,40,S,1,2
26,1,1,24,25,2,1,40,S,1,2
26,1,2,36,36,2,1,40,S,1,2
27,1,1,54,43,1,1,100,S,1,2
27,1,2,69,-73,2,1,100,S,1,2
28,2,1,19,17,2,1,60,S,1,2
28,2,2,13,30,1,1,60,S,1,2
29,1,1,1,26,1,3,20,S,1,2
29,1,2,33,21,2,3,20,S,1,2
30,2,1,59,53,2,3,60,S,1,2
30,2,2,42,34,1,3,60,S,1,2
31,0,1,-100,-100,2,1,0,S,1,2
31,0,2,-100,-100,2,1,0,S,1,2
32,2,1,7,13,1,3,40,S,1,2
32,2,2,12,21,1,3,40,S,1,2
33,1,1,61,55,1,3,100,S,1,2
33,1,2,84,-88,2,3,100,S,1,2
34,1,1,47,55,1,3,60,S,1,2
34,1,2,-34,64,2,3,60,S,1,2
35,0,1,-100,-100,2,3,0,S,1,2
35,0,2,-100,-100,2,3,0,S,1,2
36,2,1,61,61,1,1,100,S,1,2
36,2,2,-100,100,1,1,100,S,1,2
37,2,1,-42,-23,2,3,20,S,1,2
37,2,2,-100,-23,2,3,20,S,1,2
38,1,1,32,31,1,1,60,S,1,2
38,1,2,58,-69,2,1,60,S,1,2
39,2,1,40,43,1,1,40,S,1,2
39,2,2,-100,72,1,1,40,S,1,2
40,2,1,32,30,2,1,20,S,1,2
40,2,2,-100,33,1,1,20,S,1,2
41,1,1,64,67,1,3,80,S,1,2
41,1,2,89,-77,1,3,80,S,1,2
42,2,1,75,72,1,3,100,S,1,2
42,2,2,-100,100,1,3,100,S,1,2
43,2,1,56,51,1,1,80,S,1,2
43,2,2,-100,100,1,1,80,S,1,2
44,1,1,-18,-16,2,1,20,S,1,2
44,1,2,-21,-21,2,1,20,S,1,2
45,1,1,-26,-27,1,1,20,S,1,3
