subject,session,block,problem,l_r1,l_r2,un_r1,un_r2,post_2cause,struct
11,1,4,2,-26,100,100,100,2,3
11,1,4,3,-24,100,100,100,2,3
11,1,4,4,-28,100,100,100,2,3
11,1,5,1,5,100,100,-30,2,1
11,1,5,2,57,100,47,-32,2,1
11,1,5,3,40,100,62,75,2,1
11,1,6,1,46,-100,46,100,2,2
11,1,6,2,52,-100,47,0,2,2
11,1,6,3,74,-100,20,100,2,2
11,1,6,4,45,-100,46,100,2,2
11,1,7,1,0,100,0,-49,2,1
11,1,7,2,48,100,49,-51,2,1
11,1,7,3,54,100,50,54,2,1
11,1,7,4,50,100,47,-22,2,1
11,1,7,5,-100,100,-100,34,2,1
11,2,1,1,52,100,53,-23,1,1
11,2,1,2,48,100,54,-21,1,1
11,2,1,3,52,100,57,-14,1,1
11,2,1,4,62,100,59,-22,1,1
11,2,2,1,38,-100,45,100,1,2
11,2,2,2,54,-100,51,33,1,2
11,2,2,3,51,-100,53,-100,1,2
11,2,3,1,59,100,42,100,1,1
11,2,3,2,51,100,55,-31,1,1
11,2,3,3,57,100,66,-31,1,1
11,2,3,4,-43,100,55,-39,1,1
11,2,3,5,-30,100,19,-34,1,1
11,2,4,1,0,100,100,100,2,3
11,2,4,2,0,100,32,100,2,3
11,2,4,3,-27,100,100,100,2,3
11,2,4,4,0,100,-26,100,2,3
11,2,5,1,-22,100,100,0,2,1
11,2,5,2,43,100,34,-21,2,1
11,2,5,3,53,100,48,24,2,1
11,2,6,1,51,-100,44,74,2,2
11,2,6,2,51,-100,39,-21,2,2
11,2,6,3,0,-100,0,0,2,2
11,2,6,4,55,-100,50,100,2,2
11,2,6,5,29,-100,100,100,2,2
11,2,7,1,60,100,62,-41,2,1
11,2,7,2,60,100,60,-27,2,1
11,2,7,3,61,100,48,-36,2,1
11,2,7,4,51,100,50,-31,2,1
11,2,7,5,56,100,56,-16,2,1
12,1,1,1,37,100,37,2,1,1
12,1,1,2,-35,100,-25,1,1,1
12,1,1,3,38,100,33,3,1,1
12,1,1,4,43,100,40,-1,1,1
12,1,1,5,41,100,40,0,1,1
12,1,2,1,40,-100,41,100,1,2
12,1,2,2,43,-100,45,100,1,2
12,1,2,3,38,-100,37,100,1,2
12,1,2,4,42,-100,46,100,1,2
12,1,3,1,49,100,41,0,1,1
12,1,3,2,39,100,46,-2,1,1
12,1,3,3,41,100,41,0,1,1
12,1,3,4,40,100,48,0,1,1
12,1,3,5,36,100,35,0,1,1
12,1,4,1,-2,100,43,100,2,3
12,1,4,2,0,100,100,100,2,3
12,1,4,3,2,100,100,100,2,3
12,1,4,4,0,100,100,100,2,3
12,1,5,1,44,100,44,0,2,1
12,1,5,2,42,100,42,0,2,1
12,1,5,3,38,100,39,0,2,1
12,1,6,1,45,-100,42,100,2,2
12,1,6,2,42,-100,45,0,2,2
12,1,6,3,38,-100,45,100,2,2
12,1,6,4,41,-100,44,100,2,2
12,1,7,1,40,100,40,3,2,1
12,1,7,2,36,100,40,0,2,1
12,1,7,3,37,100,35,2,2,1
12,1,7,4,39,100,39,0,2,1
12,1,7,5,36,100,42,0,2,1
12,2,1,1,35,100,33,0,1,1
12,2,1,2,41,100,44,0,1,1
12,2,1,3,40,100,37,0,1,1
12,2,1,4,37,100,40,0,1,1
